ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,7,7,5,6,5,5,7,7,6,7,5,5,5,0,7,7,5,4,2,0,0,8,7,0,6,7,0,7,5,5,0,7,6,7,7,8,7,0,7,6,6,0,0,7,5,0,6,0,6,0,0,0,8,7,8,7,7,0,8,5,7,0,7,9,6,7,0,7,5,5,7,5,7,7,0,8,8,7,7,7,7,6,5,0,5,0,7,7,8,7,0,0,6,0,7,5,6,0
1,7,7,6,6,7,7,7,8,6,6,3,7,0,0,6,6,5,7,6,0,0,9,0,0,7,7,0,8,8,6,8,8,7,7,8,7,8,0,7,7,8,0,0,8,0,4,7,0,7,7,7,7,0,9,9,7,9,0,8,8,8,0,9,9,8,4,0,0,8,7,8,8,9,7,7,9,9,6,7,8,8,9,6,0,6,0,9,9,8,0,0,8,7,9,9,5,8,0
2,7,6,4,3,6,0,8,9,4,8,5,0,0,0,9,4,4,7,7,0,0,7,0,0,7,8,0,7,6,0,0,4,7,6,8,8,9,0,6,9,7,0,8,4,0,0,7,0,7,7,8,0,6,4,3,1,0,7,6,7,8,0,9,8,6,9,0,8,6,0,9,6,7,7,0,9,9,4,4,4,7,7,3,5,3,0,7,8,7,9,0,0,0,0,7,0,7,0
3,8,8,7,7,7,0,7,8,7,7,7,7,0,0,8,7,7,7,7,0,0,6,0,0,5,5,0,8,0,0,0,7,7,7,8,8,0,0,0,8,8,0,0,8,0,0,0,0,6,0,6,0,0,8,8,7,0,0,8,7,8,0,8,9,6,8,0,0,7,0,8,0,7,7,0,8,8,7,0,7,7,8,7,0,7,7,7,7,8,6,0,7,0,0,7,8,0,0
4,7,9,8,7,5,0,9,9,9,9,0,5,0,0,8,9,5,8,0,0,0,9,0,0,9,5,0,5,6,5,0,8,0,0,9,9,0,0,0,9,9,0,0,8,0,0,0,0,7,0,0,0,0,0,6,5,0,0,7,8,8,0,9,9,0,5,0,5,0,0,9,0,9,9,7,9,8,0,9,0,9,9,8,0,9,0,8,8,0,0,0,0,0,0,8,0,6,0
5,7,9,7,8,7,7,6,8,6,6,5,6,7,0,7,8,7,7,5,0,8,9,6,4,0,0,0,7,0,7,0,7,8,0,7,8,7,0,0,0,6,0,0,7,7,0,0,0,7,0,0,6,0,7,7,5,7,0,9,7,7,0,7,9,5,0,6,6,0,0,7,5,8,0,7,7,7,0,7,7,7,8,9,0,5,6,7,8,0,6,7,0,6,7,7,7,7,0
6,7,6,9,5,5,8,8,8,8,6,5,7,5,5,6,6,5,7,4,5,5,8,5,5,5,3,5,7,8,5,5,7,7,7,7,5,5,5,5,7,5,5,5,7,5,5,4,5,8,5,5,5,5,6,7,7,5,5,5,7,7,5,7,7,3,4,5,7,5,5,7,5,7,8,5,7,6,5,5,5,6,7,5,5,9,5,7,7,8,5,7,7,6,5,6,5,5,5
7,7,8,9,5,7,7,9,9,9,9,5,0,0,0,7,8,8,7,8,0,0,8,9,0,9,0,0,7,0,0,0,5,6,7,7,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0,0,8,0,7,8,9,0,0,9,5,6,0,8,8,8,0,0,0,0,0,8,0,8,8,7,7,8,0,0,9,8,8,9,0,9,0,7,8,8,0,0,9,7,8,6,0,8,0
8,8,8,7,5,6,5,6,8,8,7,5,5,5,5,7,7,6,6,5,5,5,8,7,5,7,6,5,6,5,5,5,7,7,6,6,7,7,5,6,5,7,5,5,6,5,5,7,5,6,7,7,5,5,8,8,9,9,5,6,7,7,5,6,9,6,6,5,6,6,6,7,6,7,7,6,7,5,3,4,4,7,7,6,5,7,7,6,9,7,7,5,7,5,5,6,4,6,6
9,8,5,5,5,5,7,5,9,7,7,6,7,0,0,6,7,0,8,7,6,7,9,7,0,9,6,0,5,5,5,5,5,7,5,6,7,0,0,0,9,8,8,7,9,7,0,6,0,7,7,7,0,0,7,7,7,7,0,7,7,7,0,7,6,5,5,5,5,5,5,7,6,6,6,5,9,9,5,9,9,7,9,7,0,7,0,7,9,7,1,0,9,7,6,5,9,5,5
10,9,7,7,8,6,6,5,7,7,8,0,0,0,0,9,7,7,6,3,0,0,3,0,0,3,0,0,7,8,0,8,7,8,6,6,0,0,0,0,0,3,0,0,1,0,0,0,0,9,0,9,9,0,0,6,7,7,0,9,4,5,0,6,6,1,0,0,0,1,0,6,0,4,4,0,7,7,6,6,9,7,7,7,0,9,0,7,7,8,0,0,9,8,0,7,0,8,0
11,9,7,0,0,5,3,7,9,6,4,0,7,0,0,9,7,0,8,7,0,0,9,3,0,4,7,0,7,7,0,0,7,7,7,9,9,0,0,7,9,4,0,7,9,9,0,9,0,9,7,7,0,7,7,7,7,7,0,7,3,3,0,5,9,1,7,0,0,0,0,5,5,5,5,5,9,9,7,7,9,7,7,7,7,7,7,7,7,7,0,0,7,7,0,7,7,7,0
12,9,9,9,7,0,0,9,9,9,9,9,9,0,0,7,9,0,9,9,0,0,9,9,0,0,0,0,9,9,0,0,9,9,9,9,9,0,0,0,9,9,0,0,9,0,0,0,0,9,9,9,0,9,8,9,9,0,0,9,8,7,0,8,9,8,9,7,0,9,7,8,7,9,9,0,9,9,9,0,9,9,9,9,0,9,9,9,9,9,0,0,9,9,7,9,9,9,0
13,8,8,5,5,6,0,5,9,5,5,3,5,0,0,6,6,5,7,7,0,0,8,7,0,7,0,0,7,7,0,0,7,6,5,8,5,0,0,0,7,6,0,0,5,5,0,0,0,7,5,7,7,0,7,7,7,8,0,8,6,7,0,8,8,0,7,0,7,0,0,8,5,7,7,0,8,8,0,7,8,5,8,5,0,8,0,7,7,7,8,0,0,7,3,8,5,5,5
14,7,9,7,9,9,0,9,7,5,9,7,0,0,0,7,9,5,7,7,0,5,7,9,0,5,7,0,7,7,7,0,7,7,7,7,9,0,0,7,7,0,0,0,7,0,0,0,0,7,0,9,0,0,5,7,9,0,0,0,7,5,0,7,7,9,9,0,0,7,0,7,0,9,5,9,7,7,7,7,9,9,7,0,0,7,0,7,6,7,0,3,7,7,0,7,7,7,0
15,9,7,5,5,6,0,6,9,7,6,5,0,0,0,8,8,6,6,6,0,0,9,7,0,7,8,6,7,4,0,0,3,5,0,7,8,0,7,7,7,8,6,0,7,5,6,7,0,9,7,7,8,8,6,6,4,4,0,6,6,7,0,8,9,7,8,0,6,5,0,7,4,7,7,5,9,9,6,0,8,5,9,7,0,6,7,8,9,6,4,0,7,5,5,8,6,9,7
16,7,6,6,5,4,5,6,9,9,7,7,5,8,0,5,6,0,7,8,0,0,9,6,0,6,5,5,7,5,7,0,6,5,5,7,8,0,0,8,8,8,0,0,6,0,6,6,0,5,5,5,0,6,7,7,7,5,0,6,7,7,0,7,8,7,7,0,6,8,0,7,6,7,7,0,7,7,5,6,7,7,8,6,0,8,6,7,8,7,6,0,6,6,0,6,0,6,0
17,6,6,6,6,6,5,6,7,5,5,6,5,5,5,5,6,5,6,0,0,0,7,7,0,7,7,0,6,0,0,6,6,6,6,6,7,0,0,0,6,6,0,0,6,0,7,7,0,6,0,0,0,0,6,7,9,0,0,6,0,6,0,6,7,9,0,0,0,8,0,6,6,7,7,0,6,6,0,0,7,9,6,0,0,0,0,6,6,7,0,8,8,7,0,6,0,7,0
18,9,7,5,5,8,5,5,7,7,8,6,6,6,0,9,9,0,7,6,0,0,7,6,0,0,0,0,7,0,0,0,6,6,0,7,0,0,0,0,6,9,0,0,7,0,0,0,0,6,0,0,0,0,7,9,9,0,0,8,8,9,0,7,7,7,0,0,0,8,5,7,7,7,7,5,9,9,0,0,7,7,9,0,0,7,0,9,9,7,0,0,7,7,5,9,0,6,0
19,7,7,5,0,7,0,7,7,9,5,6,0,0,0,7,7,5,7,4,0,0,9,9,0,0,9,0,9,7,0,0,5,5,5,9,7,0,0,0,9,7,0,7,0,0,0,7,0,9,0,7,7,0,7,7,7,0,0,9,7,7,0,9,9,0,0,0,0,0,0,9,0,7,9,0,9,7,0,0,7,7,9,9,0,9,0,9,9,9,0,0,7,7,0,9,5,0,0
20,3,6,5,0,0,0,0,9,0,9,0,0,0,0,4,6,0,9,9,0,0,9,0,0,9,0,0,5,6,0,0,5,0,0,9,7,0,0,0,9,9,0,0,9,0,8,9,0,9,0,0,0,0,7,7,9,0,0,9,9,8,0,8,8,9,0,0,0,0,0,8,0,9,1,0,8,8,0,0,9,9,8,0,0,9,0,8,8,7,0,0,8,0,0,6,7,8,0
21,4,7,5,5,0,0,0,9,9,9,7,0,0,0,5,3,0,9,0,0,0,5,7,0,0,6,0,3,0,0,0,9,0,6,9,0,0,0,0,7,0,0,0,3,0,0,0,0,7,0,0,0,0,7,9,9,0,0,7,9,9,0,3,6,7,0,0,0,0,0,3,0,4,4,0,6,8,0,0,0,8,9,0,0,8,0,9,9,7,7,0,8,0,0,7,0,0,0
22,6,9,8,5,6,6,7,8,8,8,7,0,0,0,9,9,6,7,5,0,0,9,9,0,9,9,0,5,0,0,5,6,5,5,9,8,0,0,8,9,9,0,0,7,0,0,8,0,9,7,9,0,0,5,9,9,0,0,8,8,8,0,7,8,9,0,0,7,8,6,7,5,8,8,5,7,9,0,0,7,7,8,7,0,8,0,9,9,9,7,0,7,8,0,7,0,7,0
23,7,5,5,5,5,8,7,7,5,7,7,7,0,0,5,5,5,7,7,0,0,9,9,0,7,0,0,7,0,6,0,7,6,6,8,7,0,6,6,6,8,0,7,7,7,6,0,0,8,0,0,0,6,0,7,9,0,0,7,9,7,0,7,7,9,6,0,6,6,8,8,5,8,8,8,7,7,5,5,6,4,5,0,0,0,0,7,7,9,9,0,5,5,5,5,5,6,5
24,7,7,5,5,5,5,7,7,5,7,6,5,0,0,7,7,0,6,5,0,0,7,5,0,5,7,5,7,5,0,0,6,5,5,7,6,0,0,5,5,7,0,0,5,0,6,6,0,7,0,0,0,6,5,7,7,0,0,7,7,7,0,5,7,8,5,5,0,5,6,5,5,8,7,7,5,6,5,0,7,7,6,6,0,6,0,7,7,7,5,0,7,7,5,9,7,8,0
25,7,8,6,5,9,7,7,9,9,8,4,7,5,0,7,9,0,7,7,0,7,9,6,0,0,6,0,7,7,6,0,7,6,7,6,6,0,0,7,9,9,0,0,7,7,0,0,0,6,0,0,0,0,7,7,9,0,0,6,5,5,0,8,9,6,7,0,6,7,0,8,7,8,9,6,6,7,0,6,7,9,9,7,0,8,0,8,7,7,7,0,6,0,9,9,7,8,0
26,9,8,6,0,0,0,6,8,7,0,5,7,7,0,9,9,7,9,0,0,5,8,0,0,0,0,0,7,7,0,0,5,0,0,8,0,0,0,0,8,0,0,7,7,0,0,0,0,8,0,0,7,0,5,6,6,6,0,6,6,6,0,8,8,0,0,0,7,0,0,8,7,7,6,8,9,8,0,0,0,7,8,0,0,7,0,8,7,7,0,0,0,7,0,8,0,0,0
27,9,9,9,9,9,0,9,9,9,7,9,9,5,0,9,9,9,9,9,0,0,7,7,0,9,0,0,9,9,9,0,9,9,9,9,9,0,0,0,9,9,0,9,9,9,9,9,9,9,0,9,9,0,9,9,9,9,0,0,9,0,0,9,9,9,9,0,9,0,0,9,1,3,3,3,9,9,9,0,7,9,9,5,0,7,0,9,9,7,5,0,0,7,6,9,7,7,0
28,8,6,0,0,0,0,0,7,6,8,5,0,0,0,9,6,6,7,0,0,0,7,7,0,7,0,0,9,6,5,0,4,6,7,9,8,0,0,0,8,5,0,0,7,0,0,0,0,7,0,5,5,0,4,5,6,0,0,5,6,7,0,7,7,0,0,6,0,6,0,7,6,7,7,5,7,8,0,0,5,5,7,5,0,0,0,7,6,0,0,0,0,0,0,7,7,5,0
29,8,8,3,3,6,5,3,9,4,4,4,4,6,0,9,4,0,5,4,0,0,5,0,0,4,5,0,8,3,8,0,3,3,3,7,4,0,0,5,5,5,0,0,5,0,4,5,5,9,6,7,7,5,5,7,4,4,0,4,5,5,0,9,9,5,6,0,7,7,0,9,5,7,4,5,9,7,4,0,0,3,6,3,0,3,5,9,5,4,5,0,4,7,6,9,0,7,0
30,9,9,7,6,9,4,9,9,8,9,7,0,0,0,8,9,7,9,6,5,8,7,7,0,0,0,0,6,7,0,7,5,7,6,7,7,6,0,9,4,7,0,0,5,0,0,0,0,4,5,5,0,0,8,9,9,7,9,9,4,6,0,9,9,5,9,0,7,0,7,9,0,9,5,8,9,9,9,0,8,7,9,7,0,7,0,9,9,7,7,0,0,5,0,8,7,7,0
31,7,9,9,5,7,8,9,7,9,4,7,8,5,0,7,9,5,9,7,9,9,6,6,0,6,6,6,7,8,7,0,5,5,5,9,9,9,0,9,7,9,0,7,8,6,6,9,0,7,0,9,6,7,8,8,9,9,6,4,9,7,6,9,5,6,6,6,7,8,0,8,5,9,7,6,6,4,4,5,7,9,8,6,0,6,7,7,7,6,5,0,7,8,9,8,9,9,8
32,7,8,6,6,6,0,6,9,7,7,5,0,0,0,7,6,0,7,5,0,0,9,0,0,0,0,0,7,6,0,0,5,5,5,7,7,0,0,7,8,8,0,0,7,0,0,7,0,7,0,0,0,0,5,7,7,8,0,8,7,7,0,7,8,7,7,0,7,7,0,7,0,7,7,0,5,7,5,0,0,7,7,7,0,7,7,7,8,7,0,0,7,0,0,7,7,7,0
33,7,8,6,7,7,6,7,7,7,6,6,6,0,0,8,7,6,7,7,0,0,8,7,0,0,7,0,6,8,6,6,6,7,7,7,7,7,0,8,9,7,0,7,6,6,0,0,0,8,0,0,0,8,8,9,6,9,8,8,4,5,0,7,8,6,0,0,6,0,0,7,6,7,7,6,8,7,6,6,7,9,7,7,0,8,7,8,8,7,6,0,7,6,0,7,8,7,0
